category_class	count_descendants
MONDO:0859356	0
MONDO:0859355	0
MONDO:0859354	0
MONDO:0859353	0
MONDO:0859352	0
MONDO:0859351	0
MONDO:0859350	0
MONDO:0859347	0
MONDO:0859346	0
MONDO:0859342	0
MONDO:0859341	0
MONDO:0859340	0
MONDO:0859339	0
MONDO:0859338	0
MONDO:0859337	0
MONDO:0859336	0
MONDO:0859335	0
MONDO:0859334	0
MONDO:0859333	0
MONDO:0859332	0
MONDO:0859331	0
MONDO:0859330	0
MONDO:0859329	0
MONDO:0859328	0
MONDO:0859327	0
MONDO:0859325	0
MONDO:0859324	0
MONDO:0859323	0
MONDO:0859322	0
MONDO:0859321	0
MONDO:0859320	0
MONDO:0859319	0
MONDO:0859318	0
MONDO:0859317	0
MONDO:0859314	0
MONDO:0859313	0
MONDO:0859312	0
MONDO:0859311	0
MONDO:0859310	0
MONDO:0859309	0
MONDO:0859308	0
MONDO:0859307	0
MONDO:0859306	0
MONDO:0859305	0
MONDO:0859304	0
MONDO:0859303	0
MONDO:0859302	0
MONDO:0859301	0
MONDO:0859300	0
MONDO:0859298	0
MONDO:0859297	0
MONDO:0859296	0
MONDO:0859295	0
MONDO:0859293	0
MONDO:0859292	0
MONDO:0859290	0
MONDO:0859289	0
MONDO:0859288	0
MONDO:0859287	0
MONDO:0859286	0
MONDO:0859285	0
MONDO:0859283	0
MONDO:0859282	0
MONDO:0859281	0
MONDO:0859280	0
MONDO:0859279	0
MONDO:0859278	0
MONDO:0859277	0
MONDO:0859276	0
MONDO:0859275	0
MONDO:0859274	0
MONDO:0859273	0
MONDO:0859272	0
MONDO:0859271	0
MONDO:0859267	0
MONDO:0859266	0
MONDO:0859265	0
MONDO:0859264	0
MONDO:0859263	0
MONDO:0859262	0
MONDO:0859261	0
MONDO:0859260	0
MONDO:0859258	0
MONDO:0859257	1
MONDO:0859256	0
MONDO:0859255	0
MONDO:0859254	0
MONDO:0859253	0
MONDO:0859252	0
MONDO:0859251	0
MONDO:0859250	0
MONDO:0859249	0
MONDO:0859248	0
MONDO:0859247	0
MONDO:0859246	0
MONDO:0859245	0
MONDO:0859244	0
MONDO:0859243	0
MONDO:0859242	0
MONDO:0859241	0
MONDO:0859240	0
MONDO:0859239	0
MONDO:0859238	0
MONDO:0859237	0
MONDO:0859236	0
MONDO:0859235	0
MONDO:0859234	0
MONDO:0859233	0
MONDO:0859232	1
MONDO:0859231	0
MONDO:0859230	0
MONDO:0859229	0
MONDO:0859228	0
MONDO:0859226	0
MONDO:0859225	0
MONDO:0859224	0
MONDO:0859223	0
MONDO:0859222	0
MONDO:0859221	0
MONDO:0859220	0
MONDO:0859219	0
MONDO:0859218	0
MONDO:0859217	0
MONDO:0859216	0
MONDO:0859215	0
MONDO:0859214	0
MONDO:0859213	0
MONDO:0859212	0
MONDO:0859211	0
MONDO:0859210	0
MONDO:0859209	0
MONDO:0859208	0
MONDO:0859207	0
MONDO:0859206	0
MONDO:0859205	0
MONDO:0859204	0
MONDO:0859203	0
MONDO:0859202	0
MONDO:0859201	0
MONDO:0859200	0
MONDO:0859199	0
MONDO:0859198	0
MONDO:0859197	0
MONDO:0859196	0
MONDO:0859194	0
MONDO:0859193	1
MONDO:0859192	0
MONDO:0859191	0
MONDO:0859190	0
MONDO:0859189	0
MONDO:0859188	0
MONDO:0859187	0
MONDO:0859186	0
MONDO:0859185	0
MONDO:0859184	0
MONDO:0859182	0
MONDO:0859181	0
MONDO:0859180	0
MONDO:0859179	0
MONDO:0859178	0
MONDO:0859177	0
MONDO:0859176	0
MONDO:0859175	0
MONDO:0859174	0
MONDO:0859173	0
MONDO:0859172	0
MONDO:0859171	0
MONDO:0859170	0
MONDO:0859169	0
MONDO:0859168	0
MONDO:0859167	0
MONDO:0859166	0
MONDO:0859165	0
MONDO:0859164	0
MONDO:0859163	0
MONDO:0859162	0
MONDO:0859161	0
MONDO:0859160	0
MONDO:0859159	0
MONDO:0859158	0
MONDO:0859157	0
MONDO:0859156	0
MONDO:0859155	0
MONDO:0859154	0
MONDO:0859152	0
MONDO:0859151	0
MONDO:0859150	0
MONDO:0859149	0
MONDO:0859148	0
MONDO:0859147	0
MONDO:0859146	0
MONDO:0859144	0
MONDO:0859143	0
MONDO:0859142	0
MONDO:0859141	0
MONDO:0859139	0
MONDO:0859137	0
MONDO:0859136	0
MONDO:0859086	0
MONDO:0859085	0
MONDO:0859083	0
MONDO:0859082	0
MONDO:0859081	0
MONDO:0859080	0
MONDO:0859046	0
MONDO:0859008	3
MONDO:0859007	0
MONDO:0859006	0
MONDO:0859005	0
MONDO:0859004	0
MONDO:0859003	0
MONDO:0859002	0
MONDO:0859000	2
MONDO:0858999	0
MONDO:0858998	0
MONDO:0858997	0
MONDO:0858974	0
MONDO:0858967	0
MONDO:0858966	0
MONDO:0858960	0
MONDO:0858959	0
MONDO:0858958	0
MONDO:0858957	0
MONDO:0858956	0
MONDO:0858950	0
MONDO:0858944	0
MONDO:0858940	0
MONDO:0858939	0
MONDO:0858926	0
MONDO:0858921	1
MONDO:0858917	0
MONDO:0858916	0
MONDO:0858910	0
MONDO:0851105	0
MONDO:0851103	0
MONDO:0851102	0
MONDO:0851100	0
MONDO:0851095	0
MONDO:0850812	0
MONDO:0850618	0
MONDO:0850519	0
